Benjamin Toniutti
Grzegorz Pająk
Dawid Konarski
Grzegorz Bociek
Dominik Witczak
Bartosz Jastrowicz
Kevin Tillie
Sam Deroo
Rafał Buszek
Kamil Semeniuk
Łukasz Wiśniewski
Patryk Czarnowski
Mateusz Bieniek
Aleksander Maziarz
Paweł Zatorski
Korneliusz Banach
Patryk Strzeżek
Maciej Muzaj
Jakub Popiwczak
Karol Gdowski
Grzegorz Kosok
Damian Boruch
Wojciech Sobala
Marcin Bachmatiuk
Radosław Gil
Lukas Kampa
Scott Touzinsky
Marcin Ernastowicz
Jason De Rocco
Salvador Hidalgo Oliva
Sebastian Schwarz
Volker Zaigler
Reinhold Korte
Timo Michler
Srećko Lisinac
Mariusz Wlazły
Karol Kłos
Bartosz Bednorz
Marcin Janusz
Kacper Piechocki
Bułgaria Nikołaj Penczew
Robert Milczarek
Grzegorz Łomacz
Patryk Czarnowski
Milan Katić
Maciej Gorzkiewicz 
Mateusz Malinowski
Łukasz Kaczmarek 
Marcus Bohme
Piotr Hain
Dawid Gunia
Adam Michalski 
Keith Pupart
Robert Täht
Igor Grobelny
Rafail Koumentakis 
Paweł Rusek
Marcin Kryś
